booking_date,region_code,account_id,product_family,booking_amount_usd,target_amount_usd,discount_pct,channel
2024-10-01,AP,ACC-1002,security-analytics,2068.57,3265.92,0.126,digital
2024-10-01,AF,ACC-1017,security-analytics,1421.74,2215.12,0.167,partner
2024-10-01,AP,ACC-1020,security-analytics,1591.28,1826.95,0.043,digital
2024-10-01,NA,ACC-1030,core-monitoring,14262.34,16532.03,0.022,partner
2024-10-01,NA,ACC-1048,core-monitoring,11463.92,16278.75,0.135,digital
2024-10-01,LA,ACC-1057,core-monitoring,13112.35,17024.15,0.186,partner
2024-10-01,EU,ACC-1061,automation-suite,6627.69,8298.44,0.036,digital
2024-10-01,AP,ACC-1062,security-analytics,979.56,1889.6,0.058,partner
2024-10-01,EU,ACC-1067,automation-suite,3971.33,4456.49,0.12,direct
2024-10-01,NA,ACC-1084,core-monitoring,6199.9,8740.9,0.154,partner
2024-10-01,NA,ACC-1084,core-monitoring,5615.47,8740.9,0.073,digital
2024-10-01,ME,ACC-1106,automation-suite,3643.84,4853.51,0.115,digital
2024-10-01,ME,ACC-1112,automation-suite,4667.59,5370.2,0.149,digital
2024-10-01,ME,ACC-1142,automation-suite,5706.31,6408.59,0.057,digital
2024-10-01,LA,ACC-1159,core-monitoring,9726.34,11334.0,0.06,partner
2024-10-01,EU,ACC-1169,automation-suite,7779.74,8831.73,0.09,partner
2024-10-01,EU,ACC-1169,automation-suite,4890.23,8831.73,0.185,direct
2024-10-01,AF,ACC-1179,security-analytics,1710.0,1879.69,0.169,partner
2024-10-01,AF,ACC-1179,security-analytics,1270.56,1879.69,0.102,partner
2024-10-01,AF,ACC-1191,security-analytics,2061.83,2338.02,0.053,digital
2024-10-01,LA,ACC-1195,core-monitoring,7997.49,9577.23,0.17,direct
2024-10-01,AP,ACC-1206,security-analytics,2736.65,3443.31,0.147,digital
2024-10-01,AP,ACC-1212,security-analytics,2015.3,2722.68,0.094,partner
2024-10-01,EU,ACC-1235,automation-suite,3290.39,4887.98,0.052,partner
2024-10-02,AF,ACC-1023,security-analytics,2037.51,2352.46,0.122,digital
2024-10-02,AF,ACC-1041,security-analytics,984.27,1612.53,0.141,partner
2024-10-02,AP,ACC-1044,security-analytics,3649.97,4039.65,0.023,digital
2024-10-02,LA,ACC-1063,core-monitoring,5502.47,7417.95,0.03,digital
2024-10-02,NA,ACC-1066,core-monitoring,6893.08,8342.58,0.023,digital
2024-10-02,EU,ACC-1073,automation-suite,5154.56,8335.95,0.165,partner
2024-10-02,ME,ACC-1088,automation-suite,3258.18,5611.0,0.046,digital
2024-10-02,ME,ACC-1100,automation-suite,6243.88,9049.81,0.144,partner
2024-10-02,AF,ACC-1101,security-analytics,995.97,1177.29,0.117,direct
2024-10-02,NA,ACC-1108,core-monitoring,7212.4,8161.23,0.049,direct
2024-10-02,LA,ACC-1117,core-monitoring,10466.52,14623.0,0.02,direct
2024-10-02,LA,ACC-1129,core-monitoring,4323.12,7845.7,0.068,direct
2024-10-02,LA,ACC-1135,core-monitoring,3597.48,7022.55,0.056,digital
2024-10-02,NA,ACC-1138,core-monitoring,7231.57,8773.77,0.131,digital
2024-10-02,EU,ACC-1139,automation-suite,5506.71,7284.22,0.131,partner
2024-10-02,AP,ACC-1140,security-analytics,1172.73,1397.65,0.087,partner
2024-10-02,LA,ACC-1147,core-monitoring,5930.23,8269.3,0.154,direct
2024-10-02,NA,ACC-1156,core-monitoring,4589.85,4999.85,0.149,digital
2024-10-02,EU,ACC-1163,automation-suite,5116.1,8518.0,0.039,digital
2024-10-02,EU,ACC-1199,automation-suite,1617.83,2729.92,0.147,partner
2024-10-02,NA,ACC-1222,core-monitoring,10282.12,14747.3,0.105,direct
2024-10-02,LA,ACC-1231,core-monitoring,3256.94,4926.35,0.059,partner
2024-10-02,AF,ACC-1233,security-analytics,1133.64,1394.1,0.178,direct
2024-10-03,EU,ACC-1025,automation-suite,4451.79,4873.46,0.064,partner
2024-10-03,LA,ACC-1039,core-monitoring,4537.02,5850.45,0.065,partner
2024-10-03,NA,ACC-1042,core-monitoring,3541.9,6559.8,0.164,direct
2024-10-03,EU,ACC-1043,automation-suite,4158.25,5001.71,0.038,partner
2024-10-03,LA,ACC-1051,core-monitoring,10423.02,11457.98,0.159,partner
2024-10-03,ME,ACC-1052,automation-suite,3571.02,6418.88,0.027,direct
2024-10-03,NA,ACC-1060,core-monitoring,5587.04,7393.78,0.132,partner
2024-10-03,AP,ACC-1098,security-analytics,2095.35,3339.59,0.117,partner
2024-10-03,EU,ACC-1121,automation-suite,1482.15,2743.41,0.183,direct
2024-10-03,EU,ACC-1127,automation-suite,2159.86,3299.43,0.083,direct
2024-10-03,AF,ACC-1137,security-analytics,1427.02,2442.38,0.139,direct
2024-10-03,LA,ACC-1141,core-monitoring,8819.32,17083.35,0.129,direct
2024-10-03,EU,ACC-1145,automation-suite,3113.06,4120.53,0.028,digital
2024-10-03,EU,ACC-1145,automation-suite,3064.72,4120.53,0.045,direct
2024-10-03,EU,ACC-1145,automation-suite,2336.81,4120.53,0.078,digital
2024-10-03,AF,ACC-1155,security-analytics,861.78,1647.49,0.189,direct
2024-10-03,EU,ACC-1175,automation-suite,7721.47,9038.64,0.101,partner
2024-10-03,LA,ACC-1177,core-monitoring,7748.29,9522.43,0.127,direct
2024-10-03,AF,ACC-1179,security-analytics,1710.35,1879.69,0.056,direct
2024-10-03,ME,ACC-1184,automation-suite,2391.61,4453.45,0.055,partner
2024-10-03,LA,ACC-1195,core-monitoring,5956.96,9577.23,0.059,digital
2024-10-03,ME,ACC-1196,automation-suite,2999.8,3521.61,0.077,direct
2024-10-03,NA,ACC-1204,core-monitoring,5385.79,6797.25,0.101,digital
2024-10-03,LA,ACC-1207,core-monitoring,6002.31,10375.48,0.045,direct
2024-10-03,LA,ACC-1213,core-monitoring,11667.78,16261.62,0.053,direct
2024-10-03,EU,ACC-1223,automation-suite,4113.78,4983.09,0.025,partner
2024-10-03,ME,ACC-1232,automation-suite,2927.08,5567.34,0.038,direct
2024-10-04,AP,ACC-1014,security-analytics,754.45,1462.05,0.096,digital
2024-10-04,AF,ACC-1023,security-analytics,1340.32,2352.46,0.171,digital
2024-10-04,NA,ACC-1036,core-monitoring,12551.18,15316.62,0.15,digital
