snapshot_date,opportunity_id,account_id,region_code,stage_name,weighted_pipeline_usd,commit_probability,expected_close_date,slippage_risk
2024-10-25,OPP-202410-ACC-1000-0,ACC-1000,NA,solution-fit,104171.97,0.45,2024-11-28,medium
2024-10-25,OPP-202410-ACC-1000-1,ACC-1000,NA,solution-fit,75407.04,0.268,2025-01-03,high
2024-10-25,OPP-202410-ACC-1000-2,ACC-1000,NA,proposal,24404.35,0.726,2025-01-15,low
2024-10-25,OPP-202410-ACC-1000-3,ACC-1000,NA,commit,84002.09,0.76,2024-12-26,low
2024-10-25,OPP-202410-ACC-1001-0,ACC-1001,EU,solution-fit,41290.0,0.292,2024-12-15,high
2024-10-25,OPP-202410-ACC-1001-1,ACC-1001,EU,solution-fit,10086.65,0.288,2025-01-14,high
2024-10-25,OPP-202410-ACC-1001-2,ACC-1001,EU,proposal,42032.37,0.664,2024-11-23,low
2024-10-25,OPP-202410-ACC-1002-0,ACC-1002,AP,solution-fit,15689.49,0.31,2024-11-15,high
2024-10-25,OPP-202410-ACC-1002-1,ACC-1002,AP,proposal,9173.7,0.518,2024-12-25,medium
2024-10-25,OPP-202410-ACC-1002-2,ACC-1002,AP,solution-fit,9965.14,0.373,2024-11-08,medium
2024-10-25,OPP-202410-ACC-1003-0,ACC-1003,LA,proposal,83101.97,0.564,2025-01-24,high
2024-10-25,OPP-202410-ACC-1003-1,ACC-1003,LA,discover,96927.43,0.225,2024-11-07,high
2024-10-25,OPP-202410-ACC-1003-2,ACC-1003,LA,proposal,77217.15,0.747,2024-12-26,low
2024-10-25,OPP-202410-ACC-1003-3,ACC-1003,LA,proposal,76896.73,0.598,2025-01-04,low
2024-10-25,OPP-202410-ACC-1004-0,ACC-1004,ME,solution-fit,16410.41,0.367,2025-01-11,medium
2024-10-25,OPP-202410-ACC-1004-1,ACC-1004,ME,solution-fit,5896.93,0.372,2025-01-06,medium
2024-10-25,OPP-202410-ACC-1004-2,ACC-1004,ME,commit,15007.08,0.755,2024-12-18,high
2024-10-25,OPP-202410-ACC-1005-0,ACC-1005,AF,commit,4759.12,0.758,2024-11-07,low
2024-10-25,OPP-202410-ACC-1005-1,ACC-1005,AF,solution-fit,4768.13,0.493,2025-01-13,medium
2024-10-25,OPP-202410-ACC-1005-2,ACC-1005,AF,proposal,3336.04,0.544,2024-11-29,medium
