usage_date,account_id,active_users,weekly_sessions,support_tickets,satisfaction_score
2024-10-01,ACC-1000,466,3262,15,77.59
2024-10-01,ACC-1001,226,904,5,80.56
2024-10-01,ACC-1002,55,660,0,87.16
2024-10-01,ACC-1003,588,2352,24,87.43
2024-10-01,ACC-1004,236,2124,6,72.78
2024-10-01,ACC-1005,75,375,2,73.9
2024-10-01,ACC-1006,398,1592,15,75.35
2024-10-01,ACC-1007,235,1410,10,87.4
2024-10-01,ACC-1008,87,1044,3,86.93
2024-10-01,ACC-1009,612,6732,25,75.21
2024-10-01,ACC-1010,204,1836,5,81.13
2024-10-01,ACC-1011,77,693,2,87.56
2024-10-01,ACC-1012,514,5654,5,89.86
2024-10-01,ACC-1013,242,968,9,94.68
2024-10-01,ACC-1014,73,657,2,72.3
2024-10-01,ACC-1015,671,4026,14,83.81
2024-10-01,ACC-1016,132,1584,3,77.2
2024-10-01,ACC-1017,66,528,1,92.44
2024-10-01,ACC-1018,700,5600,23,74.79
2024-10-01,ACC-1019,207,1035,7,87.23
2024-10-01,ACC-1020,53,371,1,77.38
2024-10-01,ACC-1021,463,3704,5,72.18
2024-10-01,ACC-1022,145,725,5,93.01
2024-10-01,ACC-1023,80,400,2,71.79
2024-10-01,ACC-1024,462,3234,10,75.78
2024-10-01,ACC-1025,171,1539,7,92.93
2024-10-01,ACC-1026,56,280,1,79.13
2024-10-01,ACC-1027,507,6084,20,93.59
2024-10-01,ACC-1028,237,2607,3,93.98
2024-10-01,ACC-1029,76,836,3,72.46
2024-10-01,ACC-1030,478,4780,7,84.57
2024-10-01,ACC-1031,131,917,2,82.28
2024-10-01,ACC-1032,76,380,2,74.86
2024-10-01,ACC-1033,635,6350,20,84.95
2024-10-01,ACC-1034,162,810,3,87.25
2024-10-01,ACC-1035,73,511,3,74.71
2024-10-01,ACC-1036,644,3864,18,70.75
2024-10-01,ACC-1037,227,1362,7,88.16
2024-10-01,ACC-1038,74,296,1,84.13
2024-10-01,ACC-1039,613,3065,18,83.91
2024-10-01,ACC-1040,140,1260,1,74.21
2024-10-01,ACC-1041,64,256,1,79.54
2024-10-01,ACC-1042,554,6094,19,88.42
2024-10-01,ACC-1043,159,636,7,77.06
2024-10-01,ACC-1044,67,268,1,76.9
2024-10-01,ACC-1045,455,4095,22,77.14
2024-10-01,ACC-1046,222,1332,10,77.29
2024-10-01,ACC-1047,53,212,1,81.84
2024-10-01,ACC-1048,550,4950,14,72.97
2024-10-01,ACC-1049,183,2196,9,77.12
2024-10-01,ACC-1050,55,660,2,82.16
2024-10-01,ACC-1051,548,3288,19,79.15
2024-10-01,ACC-1052,181,724,5,88.39
2024-10-01,ACC-1053,74,666,2,72.97
2024-10-01,ACC-1054,428,3852,4,81.04
2024-10-01,ACC-1055,183,2013,7,91.14
2024-10-01,ACC-1056,71,852,1,91.51
2024-10-01,ACC-1057,433,3897,12,85.73
2024-10-01,ACC-1058,229,2061,10,92.88
2024-10-01,ACC-1059,64,256,3,74.97
2024-10-01,ACC-1060,412,2472,14,85.97
2024-10-01,ACC-1061,170,1870,8,89.07
2024-10-01,ACC-1062,82,492,3,93.73
2024-10-01,ACC-1063,474,5688,8,71.58
2024-10-01,ACC-1064,218,1526,2,84.55
2024-10-01,ACC-1065,77,462,3,91.8
